Ward_ID,Year,Month,Actual_Cases,Linear Regression,GBM,Random Forest,XGBoost,MLP
169,2023,11,34.0,38.27,39.22,39.72,41.53,41.23
169,2023,12,33.0,50.68,45.0,44.72,45.16,46.56
170,2021,3,34.0,28.27,26.92,24.05,26.44,26.79
170,2021,4,17.0,17.36,18.47,20.11,18.34,18.21
170,2021,5,19.0,19.14,18.67,16.39,17.95,20.47
170,2021,6,40.0,41.51,41.25,40.18,41.23,41.9
170,2021,7,55.0,49.4,52.58,52.72,51.85,50.13
170,2021,8,75.0,70.59,72.84,71.61,71.71,70.8
170,2021,9,64.0,59.45,59.32,57.91,59.9,56.89
170,2021,10,61.0,62.08,66.12,64.11,65.08,63.22
170,2021,11,53.0,49.88,52.21,52.03,51.52,54.18
170,2021,12,31.0,34.06,31.5,31.71,31.55,33.05
170,2022,1,35.0,29.79,29.57,29.27,29.66,29.69
170,2022,2,21.0,31.07,28.77,29.54,28.55,30.91
170,2022,3,24.0,26.44,25.24,23.72,24.96,26.27
170,2022,4,10.0,12.75,12.31,13.04,12.79,12.5
170,2022,5,21.0,17.89,18.35,16.8,17.6,19.36
170,2022,6,44.0,40.65,48.18,47.17,47.85,38.93
170,2022,7,80.0,72.51,71.75,64.07,68.03,73.78
170,2022,8,44.0,47.22,50.69,51.25,50.13,48.08
170,2022,9,53.0,54.83,50.25,51.3,50.3,51.51
170,2022,10,53.0,54.46,56.09,56.02,57.6,55.62
170,2022,11,12.0,15.52,19.86,22.11,18.75,16.02
170,2022,12,19.0,25.01,22.19,23.81,23.82,24.02
170,2023,1,20.0,18.05,20.03,23.62,19.48,19.34
170,2023,2,27.0,29.74,28.48,29.46,27.42,29.52
170,2023,3,17.0,17.95,17.36,16.1,16.87,18.0
170,2023,4,20.0,16.07,14.34,13.59,13.9,18.28
170,2023,5,28.0,31.98,30.09,29.57,28.45,27.88
170,2023,6,35.0,35.74,34.09,30.5,34.62,36.28
170,2023,7,75.0,71.82,75.05,73.41,75.7,74.51
170,2023,8,52.0,51.33,51.23,51.46,52.51,51.96
170,2023,9,48.0,58.13,49.99,51.77,48.4,54.53
170,2023,10,40.0,37.05,38.1,39.99,39.35,37.73
170,2023,11,49.0,46.01,46.63,47.96,47.91,46.57
170,2023,12,50.0,46.06,42.53,44.79,43.31,45.11
171,2021,3,16.0,18.77,17.49,17.41,17.61,17.33
171,2021,4,8.0,4.03,5.73,4.36,5.4,6.15
171,2021,5,21.0,17.84,18.98,19.69,19.11,19.74
171,2021,6,40.0,43.83,48.0,49.3,49.95,42.71
171,2021,7,67.0,57.94,55.6,56.13,57.41,60.05
171,2021,8,29.0,32.31,37.23,37.85,35.65,32.41
171,2021,9,34.0,48.5,43.34,40.0,43.33,50.76
171,2021,10,41.0,38.68,43.59,44.49,42.85,39.22
171,2021,11,35.0,34.45,38.63,38.18,38.09,34.79
171,2021,12,23.0,26.74,25.31,25.86,25.61,24.47
171,2022,1,9.0,15.62,17.63,17.46,17.41,15.19
171,2022,2,7.0,8.29,10.93,10.59,10.92,10.41
171,2022,3,0.0,3.92,3.33,4.96,3.09,3.32
171,2022,4,13.0,7.5,6.69,7.46,7.17,7.87
171,2022,5,18.0,20.24,19.22,19.98,19.24,16.67
171,2022,6,37.0,36.53,36.48,34.19,35.03,36.22
171,2022,7,33.0,36.63,35.65,38.84,37.09,38.14
171,2022,8,36.0,48.23,47.7,48.12,48.51,48.93
171,2022,9,33.0,41.66,42.16,42.54,42.38,39.74
171,2022,10,48.0,47.28,41.35,43.95,39.99,46.85
171,2022,11,39.0,41.39,45.79,46.48,44.65,41.84
171,2022,12,27.0,33.2,32.03,31.1,34.17,30.09
171,2023,1,9.0,9.19,11.06,12.34,10.53,10.19
171,2023,2,8.0,14.19,15.62,16.19,14.91,15.64
171,2023,3,19.0,16.61,15.84,14.25,15.85,15.9
171,2023,4,9.0,5.62,6.92,6.64,7.33,6.0
171,2023,5,14.0,15.79,17.68,16.48,16.98,16.36
171,2023,6,11.0,10.66,14.7,22.29,15.27,13.56
171,2023,7,34.0,31.92,30.46,28.01,28.4,31.87
171,2023,8,38.0,39.76,39.53,39.47,40.75,40.24
171,2023,9,48.0,50.52,51.26,47.91,50.51,49.2
171,2023,10,52.0,49.52,51.44,51.37,52.11,50.73
171,2023,11,38.0,33.79,33.85,35.52,35.48,35.07
171,2023,12,19.0,23.45,21.21,23.93,22.77,22.13
172,2021,3,18.0,16.21,17.83,21.01,17.86,14.59
172,2021,4,15.0,16.97,18.5,19.04,18.44,15.86
172,2021,5,31.0,32.65,33.07,34.78,31.48,30.53
172,2021,6,60.0,59.94,62.04,59.18,61.76,63.96
172,2021,7,51.0,57.98,65.93,61.85,65.69,61.06
172,2021,8,58.0,61.01,60.88,61.73,59.59,61.83
172,2021,9,83.0,81.98,79.95,74.62,83.1,85.5
172,2021,10,85.0,80.79,83.63,80.18,79.71,85.48
172,2021,11,56.0,57.13,63.56,62.16,63.01,62.56
172,2021,12,45.0,45.9,43.24,36.7,41.07,38.92
172,2022,1,16.0,10.57,8.32,11.14,8.92,11.32
172,2022,2,31.0,31.86,33.16,34.95,32.37,31.16
172,2022,3,11.0,10.57,10.97,11.85,10.73,9.62
172,2022,4,2.0,9.5,9.92,12.41,10.72,8.25
